date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:17	41293/41293	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Oct%202019%2012:16:16%20GMT	https://www.warpedcigars.com/story	D:/Desktop/Dela%20Divine/www.warpedcigars.com/story.html	(from https://www.warpedcigars.com/)
12:16:17	231/231	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:16%20GMT	http://www.warpedcigars.com/videos/menu-bg.mp4	D:/Desktop/Dela%20Divine/www.warpedcigars.com/videos/menu-bg.mp4	(from https://www.warpedcigars.com/)
12:16:18	225/225	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:17%20GMT	http://www.warpedcigars.com/authenticate	D:/Desktop/Dela%20Divine/www.warpedcigars.com/authenticate	(from https://www.warpedcigars.com/)
12:16:19	16377/16377	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Oct%202019%2012:16:18%20GMT	https://www.warpedcigars.com/authenticate	D:/Desktop/Dela%20Divine/www.warpedcigars.com/authenticate.html	(from https://www.warpedcigars.com/)
12:16:20	220/220	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:19%20GMT	http://www.warpedcigars.com/contact	D:/Desktop/Dela%20Divine/www.warpedcigars.com/contact.1b.delayed	(from https://www.warpedcigars.com/)
12:16:22	15193/15193	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Oct%202019%2012:16:20%20GMT	https://www.warpedcigars.com/contact	D:/Desktop/Dela%20Divine/www.warpedcigars.com/contact.html	(from https://www.warpedcigars.com/)
12:16:22	225/225	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:20%20GMT	http://www.warpedcigars.com/cigar-brands	D:/Desktop/Dela%20Divine/www.warpedcigars.com/cigar-brands	(from https://www.warpedcigars.com/)
12:16:24	26727/26727	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Oct%202019%2012:16:23%20GMT	https://www.warpedcigars.com/cigar-brands	D:/Desktop/Dela%20Divine/www.warpedcigars.com/cigar-brands.html	(from https://www.warpedcigars.com/)
12:16:25	222/222	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:23%20GMT	http://www.warpedcigars.com/retailers	D:/Desktop/Dela%20Divine/www.warpedcigars.com/retailers.1f.delayed	(from https://www.warpedcigars.com/)
12:16:26	4792466/4792466	---M--	200	added ('OK')	video/mp4	etag:%22492092-58c6a0e65f65b%22	https://www.warpedcigars.com/videos/menu-bg.mp4	D:/Desktop/Dela%20Divine/www.warpedcigars.com/videos/menu-bg.mp4	(from https://www.warpedcigars.com/)
12:16:26	13659/13659	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Oct%202019%2012:16:25%20GMT	https://www.warpedcigars.com/retailers	D:/Desktop/Dela%20Divine/www.warpedcigars.com/retailers.html	(from https://www.warpedcigars.com/)
12:16:27	217/217	---M-Z	302	error ('Found')	text/html	date:Wed,%2016%20Oct%202019%2012:16:26%20GMT	http://www.warpedcigars.com/blog	D:/Desktop/Dela%20Divine/www.warpedcigars.com/blog.21.delayed	(from https://www.warpedcigars.com/)
